ID,Section,Owner,Priority,Target Stage,Title,Finding / Question,Recommended Action,Notes
Q-API,§6,Engineering,2 — High,Stage 3,Backend API specifics for redesigned UI,"Backend API specifics required to support the redesigned UI: REST endpoints vs. GraphQL fields/mutations on EvalGraphQL, payload shape for the multi-session editor and per-session sub-dialogs.",Define during Solution Design. APIs must be stateless and JWT-authenticated per teachpoint-web/CLAUDE.md.,Initiative scope includes 'supporting backend API components.'
Q-PRICE,§6,Product Leadership,3 — Medium,Before release,Pricing confirmation,"Pricing — included in base TeachPoint / EV+ package? No pricing-tier changes anticipated, but 'to be confirmed.'",Confirm with Product leadership before release.,
Q-COMMS,§6,Product / Customer Success,3 — Medium,Before release,Tenant communications ahead of toggle flip,Do tenants relying on per-form custom-question logic need any communication ahead of the toggle flip?,Surface visual differences early if they materially change tenant comms or training. Custom-question rendering is in scope.,
Q-RTE,§6,Design / Engineering,3 — Medium,Stage 3,Rich-text Event Details editor — new library or carry-over,"Is the rich-text Event Details editor in scope of the new component library, or carried over from the Quill-based current implementation?","Confirm component-library coverage during Solution Design. Today uses a Quill toolbar (bold/italic/underline/color/size/list/link, auto http:// link prefix).",
A16,§7.A,UX,1 — Critical,Stage 2,Full approver / reviewer action list,"Which approver/reviewer actions render in the new design — all current code-exposed actions (APPROVE, APPROVE_AS_CO, DECLINE, REVIEW, REVIEW_AS_CO, REVIEW_AS_EVALUATOR, RETURN_TO_AUTHOR) or a consolidated subset?",UC3 + §2 Scope to be updated once UX confirms.,UC3 currently lists three actions only. Blocks B23.
B6,§7.B,UX,1 — Critical,Stage 2,Read-only treatment for editable-vs-read-only fields,Read-only and editable modes 'visually distinct beyond color' (UC3). Design treatment unresolved.,"UX to resolve read-only treatment (e.g., lock icon + aria-readonly='true' + reduced contrast, or another defensible pattern) before Stage 2.",B18 confirmed there is no separate read-only 'mode' — UX needs to confirm whether per-field disabled-state styling is sufficient. Cross-ref §6 read-only mode question.
B19,§7.B,Product + UX,1 — Critical,Stage 2,Permission-to-mode mapping + visual treatment,UC5 AC: 'Edit-vs-read-only mode matches the user's permission set.' Testable only if permission-to-mode mapping is enumerated and visual mode indicator from B6 is resolved.,"Product to enumerate permission-to-mode mapping (e.g., isSectionEnabled() == false ? read-only; isAcceptedEditable() == true after acceptance ? editable); UX to confirm visual treatment with B6.",Pairs with B6.
A18,§7.A,Engineering / Product,1 — Critical,Stage 2 (PRD sign-off),Program Attributes vs. Program Groups conflated,"§2 conflates Program Attributes and Program Groups as one section. Code has two separate rendering paths: Program___Attributes.xhtml renders eventattributes (event-level SINGLE_SELECT / MULTI_SELECT tied to a separate data model), while groups.xhtml iterates programGroups (the 8-type question system).",Split §2 into two explicit subsections: (a) Event Attributes and (b) Custom Questions / Program Groups. Confirm data models and add separate ACs.,"If treated as one component, one system breaks silently."
A19,§7.A,Product / Engineering,1 — Critical,Stage 2 (PRD sign-off),Event copy / donor-event workflow unscoped,"Form supports a ?donorid={id} URL parameter. When active, EventActions.isCopiedEvent() returns true, donorEvent and donorAttendances load, and on Submit the copiedEventSubmitDialog asks 'Copy event attendees?'. Real creation path the PRD does not mention.","Add to §2 Scope: When opened with a donorid parameter, form operates in copy mode; the donor-event Submit dialog must render correctly. Add a use-case AC.",
A20,§7.A,Engineering / Product,1 — Critical,Stage 2 (PRD sign-off),Selectable approver picker in action dialog,The actionConfirmationDialog conditionally renders a p:selectOneMenu populated by eventEdit.getStepApprovalList(stepId) when nextApproval.selectableApprover == true. The acting user chooses who receives the next review step. PRD does not mention this picker.,"Add to §2 / UC3: When the current approval step has a selectable next approver, the action confirmation dialog renders an approver-selector dropdown; selection is required before action executes.",Approval routing breaks without it.
A21,§7.A,Product / Engineering,1 — Critical,Stage 2 (PRD sign-off),Delete Approved Credits confirmation dialog,"When switching credit-assignment type during SAVE and previously approved credits exist, a special preventApprovedCreditsDialog warns the user. PRD §2 edge cases describe cascade behavior but not this destructive-data-loss confirmation path.","Add to §2 Edge Cases: If a save action would change credit type and approved credits already exist, a confirmation dialog must warn the user; user must explicitly confirm before proceeding.",Data-loss path.
A22,§7.A,Engineering / Product,1 — Critical,Stage 2 (PRD sign-off),Two permission-filter dialogs collapsed into one,"Form includes two independent permission editors: (1) PD Event Publishing access (permissionEdit, context PD_EVENT_PUBLISHING) and (2) Credit Editing access (pdEventCreditEditingPermissions). PRD §2 describes only 'PD Event Permissions' as a single feature.","Update §2 to explicitly list two distinct permission dialogs with separate trigger affordances, backing beans, and IDs. Confirm distinct contexts and add AC for each.","If redesign renders one dialog, credit-editing permission management is lost."
A23,§7.A,Product / Engineering,2 — High,Stage 2 (PRD sign-off),CANCEL and UNCANCEL actions absent,"Beyond DELETE_DRAFT (pre-submit drafts), accepted/published events can be Cancelled (distinct status transition) and then Un-cancelled. PRD §2 action-bar inventory omits both.","Add CANCEL and UNCANCEL to §2 action-bar inventory with EventStateManager.Action triggers, confirmation requirements, and roles that can invoke them.",
A24,§7.A,Engineering,2 — High,Stage 2 (PRD sign-off),Switched-user lockout not in scope,"EventStateManager.isNotSwitchedUser blocks all actions when an admin is impersonating another user. Form renders but no action buttons execute. If redesign does not replicate this gate, switched admins will be able to take actions on behalf of users.","Add to §2 Constraints or Edge Cases: When an admin is operating as a switched user, all EventStateManager-gated actions are disabled. Form renders in view-only mode regardless of target user's permissions.",
A25,§7.A,Product / Engineering,2 — High,Stage 2 (PRD sign-off),Attendee Visibility field absent from inventory,Radio group (HIDDEN / VISIBLE) controls whether event attendees can see each other in the roster. Renders for all non-individual programs within Scheduling Details. PRD §2 does not list this field.,Add to §2 Scheduling Details (BASIC and ADVANCED): Attendee Visibility — radio (Hidden / Visible); renders for non-individual programs.,Will be silently dropped if not added.
A26,§7.A,Engineering / Product,2 — High,Stage 2 (PRD sign-off),Individual privacy type field matrix not defined,"Significant conditional rendering applies when isIndividualPrivacyType is true: Max Attendees hidden, Presenters hidden, Enrollment Deadline hidden, Sign-up Approval hidden, Budget section enabled, events auto-accept. PRD never states which fields appear or disappear.",Add field-visibility matrix to §2 (or appendix) enumerating fields shown/hidden per privacy type (Public / Restricted / Individual). Confirm via existing conditionals in groups.xhtml and Program___Scheduling.xhtml.,Wrong field set for individual events would be a regression.
A27,§7.A,Product / Engineering,2 — High,Stage 2 (PRD sign-off),Evaluator Approval configuration section unscoped,"When eventEdit.program.approvals.size() > 0, a Program___Evaluator_Approval.xhtml section renders allowing evaluator assignment and step configuration. PRD mentions evaluator REVIEW action but not this form section.",Add 'Evaluator Approval configuration' as a section in §2 scope with a conditional ('renders when program has one or more approval steps configured') and an AC covering evaluator assignment and step display.,
A28,§7.A,Product / Engineering,3 — Medium,Stage 2 (PRD sign-off),UNDELETE action absent from inventory,Soft-deleted events can be un-deleted via the UNDELETE action. PRD §2 action-bar inventory does not include it.,Add UNDELETE to §2 action-bar inventory with trigger condition and confirmation behavior.,
A29,§7.A,Product / Engineering,3 — Medium,Stage 2 (PRD sign-off),NOTIFY_AUTHOR (send message) action absent,"NOTIFY_AUTHOR is distinct from RETURN_TO_AUTHOR. Renders as a separate red button when eventActions.canSendMessage() is true, allowing an approver to message the author without changing event status.","Add NOTIFY_AUTHOR as a separate action in §2 action-bar inventory with distinct trigger (canSendMessage()), button style (red), and confirmation-with-message dialog behavior.",Risk: merged with Return-to-Author in redesign.
A30,§7.A,Product / Engineering,3 — Medium,Stage 2 (PRD sign-off),REIMBURSEMENT_APPROVE action absent,EventStateManager.Action includes REIMBURSEMENT_APPROVE. PRD scopes the reimbursement fields but not the approval action that gates the reimbursement workflow.,Add REIMBURSEMENT_APPROVE to §2 action-bar inventory with trigger condition and roles that can invoke it.,
A31,§7.A,Engineering,3 — Medium,Stage 2 (PRD sign-off),Library / preview mode unscoped,Form supports ?preview=1&pdlibrary=1 URL parameters that put it in a read-only preview mode for library/template events — distinct from approver read-only mode. PRD does not mention this access path.,"Add to §2 Scope: Form must preserve the preview=1&pdlibrary=1 URL-parameter mode, rendering read-only for library/template events with no action buttons.",
A32,§7.A,Engineering,3 — Medium,Stage 2 (PRD sign-off),Predefined header section unscoped,"When predefinedHeader = true for a program type, a Program___Header.xhtml block with raw HTML renders at the top of the form before all other sections. PRD does not mention this conditional block.","Add to §2 Scope: For program types with predefinedHeader = true, a program-defined HTML header block renders above all form sections; redesign must preserve this conditional block and its raw-HTML rendering.",
A33,§7.A,Product / Engineering,3 — Medium,Stage 2 (PRD sign-off),Per-slot feedback template unscoped,"In advanced scheduling, each slot row includes a Feedback Template dropdown rendered when event.multipleFeedback && (!event.new || !ONE_SLOT_signup). PRD §2 describes feedback only at the event level.",Add to §2 ADVANCED schedule description: Each session row includes a Feedback Template dropdown when event has multiple feedback templates configured and signup type is not ONE_SLOT.,
